"","set","time"
"1","set1",141.027165985027
"2","set1",143.805158370177
"3","set1",140.586036589093
"4","set1",141.779706632426
"5","set1",142.64725199693
"6","set1",142.995101895185
"7","set1",143.802648387412
"8","set1",141.841060651552
"9","set1",141.055436150175
"10","set1",144.917395721451
"11","set1",142.45488779557
"12","set1",139.606248602939
"13","set1",140.344027617621
"14","set1",143.798594038726
"15","set1",140.982685325092
"16","set1",142.254249107083
"17","set1",146.862538537806
"18","set1",144.737790417528
"19","set1",141.78617212907
"20","set1",142.152725797638
"21","set1",140.492033846848
"22","set1",141.807101030748
"23","set1",144.587764044907
"24","set1",144.150785725522
"25","set1",141.674522068624
"26","set2",169.330159257627
"27","set2",173.157113096435
"28","set2",169.627468932482
"29","set2",172.679658724567
"30","set2",171.634081923671
"31","set2",176.767816467864
"32","set2",174.391688040242
"33","set2",172.830031194456
"34","set2",172.529287419916
"35","set2",170.87465044333
"36","set2",168.406637911499
"37","set2",172.245490048355
"38","set2",167.83959930795
"39","set2",169.798188919043
"40","set2",170.095872360667
"41","set2",171.095617286459
"42","set2",168.058954268352
"43","set2",167.40716716726
"44","set2",167.236095467754
"45","set2",170.122468584476
"46","set2",168.904273156825
"47","set2",169.208270714273
"48","set2",171.856501972509
"49","set2",172.639076769501
"50","set2",165.810102844071
"51","set3",338.319788683359
"52","set3",336.850237985063
"53","set3",340.224688571956
"54","set3",335.090710292884
"55","set3",338.170677098949
"56","set3",339.983811287454
"57","set3",337.470286498648
"58","set3",338.390943457201
"59","set3",337.243809446966
"60","set3",335.552040287722
"61","set3",340.810091950419
"62","set3",340.140133013072
"63","set3",336.051731345667
"64","set3",338.845524089881
"65","set3",339.659404276658
"66","set3",338.879294039042
"67","set3",333.463161808833
"68","set3",337.003090640335
"69","set3",335.988117088915
"70","set3",340.932198636063
"71","set3",335.992674770017
"72","set3",340.519401490817
"73","set3",337.788894774841
"74","set3",339.339739016454
"75","set3",335.517504642591
"76","set4",54.4203543462182
"77","set4",50.9557266553182
"78","set4",53.6822558106548
"79","set4",58.578402954895
"80","set4",55.4170326296249
"81","set4",54.6698647690523
"82","set4",54.4897401132128
"83","set4",57.2907924397538
"84","set4",53.5772543214435
"85","set4",55.2285744868215
"86","set4",55.5787398000866
"87","set4",54.8562509006259
"88","set4",54.2140951452031
"89","set4",55.537729590002
"90","set4",53.4252222920616
"91","set4",56.4651917080764
"92","set4",55.42549705822
"93","set4",56.3249124410585
"94","set4",57.6421906775249
"95","set4",57.213430677762
"96","set4",54.582819297685
"97","set4",57.0153323383787
"98","set4",54.4296230131153
"99","set4",56.207491216911
"100","set4",54.4489843072137
