"","group","accurate"
"1","older",2
"2","older",1
"3","older",5
"4","older",0
"5","older",2
"6","older",0
"7","older",2
"8","older",2
"9","older",1
"10","older",1
"11","older",2
"12","older",0
"13","older",0
"14","older",4
"15","older",0
"16","older",4
"17","older",1
"18","older",1
"19","older",3
"20","older",2
"21","older",3
"22","older",3
"23","older",4
"24","older",2
"25","older",4
"26","younger",3
"27","younger",3
"28","younger",2
"29","younger",2
"30","younger",4
"31","younger",2
"32","younger",0
"33","younger",3
"34","younger",1
"35","younger",1
"36","younger",1
"37","younger",0
"38","younger",1
"39","younger",0
"40","younger",2
"41","younger",0
"42","younger",1
"43","younger",1
"44","younger",1
"45","younger",2
"46","younger",3
"47","younger",4
"48","younger",0
"49","younger",2
"50","younger",4
