"","group","accurate"
"1","older",4
"2","older",5
"3","older",0
"4","older",2
"5","older",3
"6","older",1
"7","older",3
"8","older",2
"9","older",1
"10","older",0
"11","older",1
"12","older",2
"13","older",3
"14","older",0
"15","older",4
"16","older",0
"17","older",2
"18","older",2
"19","older",4
"20","older",2
"21","older",1
"22","older",1
"23","older",0
"24","older",0
"25","older",2
"26","younger",2
"27","younger",0
"28","younger",0
"29","younger",1
"30","younger",1
"31","younger",5
"32","younger",3
"33","younger",2
"34","younger",3
"35","younger",2
"36","younger",2
"37","younger",1
"38","younger",2
"39","younger",6
"40","younger",3
"41","younger",2
"42","younger",3
"43","younger",1
"44","younger",2
"45","younger",1
"46","younger",0
"47","younger",1
"48","younger",2
"49","younger",4
"50","younger",3
