"","group","time"
"1","older",56.2911709817836
"2","older",57.6283031191365
"3","older",58.4441333054058
"4","older",53.475960517227
"5","older",55.5404859639088
"6","older",58.1918956752058
"7","older",57.2460656745793
"8","older",54.6190328949807
"9","older",56.2645752025246
"10","older",56.6634127872361
"11","older",58.4481680347097
"12","older",53.2897665722388
"13","older",53.9396409372801
"14","older",54.3054568149004
"15","older",54.5045513290793
"16","older",53.3699683373674
"17","older",58.0988264753994
"18","older",52.9836021158747
"19","older",56.157776089516
"20","older",54.132856186494
"21","older",58.2267246412231
"22","older",51.9829929784258
"23","older",53.3544247681963
"24","older",51.8659945592992
"25","older",55.0702285614928
"26","younger",28.3263543389634
"27","younger",28.1025175037785
"28","younger",29.2037919086112
"29","younger",26.7032837626552
"30","younger",29.3813859064942
"31","younger",27.3097380092281
"32","younger",34.9133612327817
"33","younger",29.2372445102893
"34","younger",29.572282071633
"35","younger",32.2808908336432
"36","younger",32.5277731196304
"37","younger",28.8030055845771
"38","younger",33.0759502453139
"39","younger",28.0983064257686
"40","younger",31.3975001043005
"41","younger",29.8398176676325
"42","younger",30.114346705506
"43","younger",30.8013755280813
"44","younger",32.3346299155485
"45","younger",32.0539624613903
"46","younger",31.0742826841078
"47","younger",30.6047257627193
"48","younger",26.8234768155729
"49","younger",29.802855880117
"50","younger",30.0745923301781
