"","group","accurate"
"1","older",1
"2","older",1
"3","older",2
"4","older",2
"5","older",0
"6","older",1
"7","older",1
"8","older",2
"9","older",5
"10","older",1
"11","older",2
"12","older",0
"13","older",2
"14","older",4
"15","older",2
"16","older",4
"17","older",2
"18","older",3
"19","older",3
"20","older",3
"21","older",5
"22","older",1
"23","older",3
"24","older",5
"25","older",3
"26","younger",2
"27","younger",6
"28","younger",2
"29","younger",3
"30","younger",4
"31","younger",3
"32","younger",1
"33","younger",1
"34","younger",1
"35","younger",1
"36","younger",3
"37","younger",0
"38","younger",3
"39","younger",2
"40","younger",4
"41","younger",2
"42","younger",4
"43","younger",1
"44","younger",1
"45","younger",1
"46","younger",1
"47","younger",1
"48","younger",5
"49","younger",3
"50","younger",1
