"","group","time"
"1","older",335.519957590796
"2","older",340.238893688757
"3","older",338.568161320587
"4","older",342.560330104928
"5","older",339.084477837435
"6","older",338.663547836504
"7","older",337.714849581142
"8","older",340.198171184816
"9","older",336.276906142723
"10","older",333.409983618063
"11","older",335.824323096674
"12","older",339.072767073533
"13","older",338.124346864081
"14","older",338.826396075744
"15","older",340.245462362555
"16","older",339.983233506097
"17","older",337.775874956061
"18","older",338.40168826991
"19","older",338.008963144885
"20","older",342.099876058963
"21","older",336.080330030732
"22","older",339.75294021766
"23","older",339.4909485292
"24","older",337.291455579125
"25","older",340.221214584442
"26","younger",154.55098225821
"27","younger",153.596772598045
"28","younger",155.934377820272
"29","younger",155.991455130027
"30","younger",156.95167958229
"31","younger",152.965818891386
"32","younger",154.863040927677
"33","younger",157.365342329952
"34","younger",154.104954519133
"35","younger",154.032221488823
"36","younger",155.769317220623
"37","younger",154.29914975004
"38","younger",158.714833189898
"39","younger",154.860231035719
"40","younger",156.616165166112
"41","younger",150.739264913591
"42","younger",153.087876627199
"43","younger",154.647822953419
"44","younger",156.185334528992
"45","younger",157.046574544814
"46","younger",152.012426285663
"47","younger",156.246640021101
"48","younger",154.757295825594
"49","younger",155.477554606979
"50","younger",155.173010663326
