"","group","time"
"1","older",143.476458589815
"2","older",144.555164355847
"3","older",143.550424467624
"4","older",142.001193817107
"5","older",144.103306170652
"6","older",142.85246926991
"7","older",140.3798520358
"8","older",143.162536535699
"9","older",144.688635356823
"10","older",145.4952635951
"11","older",141.894260613025
"12","older",143.206824774807
"13","older",145.289271008106
"14","older",144.619131230724
"15","older",139.054643369263
"16","older",142.452353562165
"17","older",142.840988414675
"18","older",142.406829322896
"19","older",144.321703609702
"20","older",141.07574101407
"21","older",139.078770792063
"22","older",143.743553787273
"23","older",140.066284780201
"24","older",144.656941000316
"25","older",143.899096711013
"26","younger",71.1980626910448
"27","younger",74.062097752252
"28","younger",73.038928192957
"29","younger",72.2079885676456
"30","younger",76.0147293092531
"31","younger",74.0406628300305
"32","younger",75.8444128401484
"33","younger",69.1672737924518
"34","younger",73.7098630740554
"35","younger",73.4424845898512
"36","younger",70.1622918698574
"37","younger",70.5449224174781
"38","younger",73.0668574787763
"39","younger",73.1305439674261
"40","younger",68.9991878760087
"41","younger",73.7802280217817
"42","younger",74.8673380060414
"43","younger",74.5853448161641
"44","younger",75.3244561614546
"45","younger",71.5265833132242
"46","younger",74.7450678391571
"47","younger",73.4441053000817
"48","younger",70.3742716006481
"49","younger",71.7289691674657
"50","younger",72.252755097706
